"","lyrics"
"469","honkytonkin round part cold hearted tellin friends rascal part cold hearted remember tall trough money go fluff give blame ought hang head shame part cold hearted forget deep debt part cold hearted say slam door square part cold hearted call thing dummy dope know satisfy take strychnine croak regret cigarette part cold hearted lie tell regret someday saint say guess fault part cold hearted"
"470","tender sweet life complete tender true dream fulfil darlin tender long heart belong tender true dream fulfil darlin tender dear tell years till time tender true dream fulfil darlin"
"471","house sorrow room haunt world come tomorrow wait heartbreak avenue scatter promise come true change mind wait heartbreak avenue warn desert tell hurt heartbreak avenue someday understand yearn somebody deep heart burn neighbor heartbreak avenue"
"472","stand night head bow darkness black heart felt cry lord hide face hold hand hour great unknown hand stand stand like live palace tall great riches know thing wide world worse hold hand"
"473","wander away come home path long tread lord come home come home come home roam open wide thine arm lord come home waste precious years come home repent bitter tear lord come home come home come home"
"474","prove days come swear true darling think past prove days come darling true good heart apart true prove heart stay blue lonesome days prove thousand ways nice sweet blue prove kinds ways darling free change great change true blue prove thousand ways"
"475","things know place sure thing real feel soul real real soul real wash like pure gold real feel soul tell felt wash sin away hour real feel mighty power real real soul real wash like pure gold real feel soul"
"476","blue heart ache know sorrow take know right start leave blue heart rain fall refuse shine wrong apart lonesome blue heart go couldn hold like straight fold blue heart"
"477","wound soul today cause foot astray walk willful dear lord forgive utter idol word fame turn aside want pain offend strain dear lord forgive forgive sin confess thee forgive secret sin guide keeper dear lord forgive"
"478","eye behold star heart fill wonder poor mind grasp array hand spill wide heaven plan place know great hide secrets fear darkness flame shall know future hold know hold future secret know world fear doubt knees question lonely heavy cross tell prayer trust give strenght share know"
"479","valley moon stroll neath roses valley moon lose neath roses valley moon kiss say goodbye cry dear wonder lonely meet roses valley moon stroll neath roses"
"480","best years life heart break token part touch like knife grieve youth surely leave cause best years life know easy cause memories busy young strife tell like brother best years life taste bitter love quitter free cause recover best years life know easy"
"481","companion draw nigh early summon come high dark sorrow know pray sadly regret learn come save lead triumph death grave prayer tear sister mother song comfort cheer word book dear sing song come mansions bleed calvary tree bring salvation sinners like alas word comfort promise cover darkness begrieved undo people bless word heed command lord publish lose race pardon forgiveness salvation prayer tear sister mother song comfort cheer word book dear"
"482","dream come true stay perfection stay brilliant handsome pretty throw dream away stay stay stay wish things supply dream come true stay dream come true stay special feel deny conceal throw dream away stay stay stay stay stay"
